,Label
25254,0
16064,0
29761,0
6636,1
28313,0
29936,0
23036,0
5250,1
21924,0
17969,0
27829,0
13780,0
8249,1
30662,0
23384,0
15721,0
2500,1
1482,1
2052,1
15612,0
28697,0
23624,0
6788,1
4371,1
22391,0
22311,0
14159,0
23495,0
29987,0
28395,0
21509,0
8740,1
29787,0
26757,0
6723,1
29195,0
7784,1
26788,0
20661,0
13764,0
9269,1
3689,1
19968,0
8439,1
22065,0
29596,0
14676,0
14416,0
862,1
19749,0
28187,0
11096,1
11870,0
25944,0
22390,0
4720,1
15960,0
20363,0
56,1
7082,1
6033,1
360,1
29457,0
2451,1
4226,1
3059,1
22506,0
21965,0
22300,0
27276,0
16073,0
5239,1
17769,0
2306,1
3259,1
2063,1
11455,0
11364,0
4382,1
27599,0
7759,1
29079,0
3845,1
4826,1
27236,0
7158,1
14236,0
19342,0
5666,1
13037,0
27452,0
14199,0
7782,1
5911,1
28566,0
10894,1
7015,1
26054,0
27402,0
27051,0
18184,0
27075,0
24960,0
30289,0
18062,0
90,1
15388,0
23338,0
772,1
3807,1
5496,1
29336,0
19590,0
25767,0
13687,0
21271,0
10167,1
21432,0
17862,0
1990,1
3502,1
16521,0
29654,0
10355,1
16859,0
23741,0
13485,0
18321,0
26142,0
521,1
28645,0
22832,0
9182,1
5033,1
14815,0
11538,0
21333,0
14410,0
29041,0
6364,1
29712,0
23097,0
19267,0
24016,0
16536,0
11738,0
17881,0
17831,0
1446,1
19797,0
27128,0
24331,0
17694,0
23546,0
20877,0
13009,0
11549,0
1803,1
24220,0
27525,0
30416,0
20134,0
20037,0
8859,1
126,1
18925,0
12605,0
3246,1
16934,0
27913,0
6285,1
10130,1
26727,0
23526,0
9328,1
29791,0
2287,1
17898,0
6394,1
8969,1
27029,0
7879,1
4323,1
27869,0
14235,0
6166,1
14712,0
17032,0
28578,0
17115,0
18327,0
28071,0
4778,1
8224,1
9167,1
19467,0
7286,1
4703,1
23047,0
8935,1
22802,0
27921,0
17924,0
2965,1
17749,0
17014,0
19096,0
18683,0
18125,0
7788,1
23288,0
34,1
13630,0
16254,0
1284,1
7861,1
15019,0
25264,0
27801,0
12897,0
28619,0
28336,0
6374,1
513,1
23834,0
3925,1
7658,1
8394,1
17352,0
17641,0
4521,1
7629,1
18579,0
26982,0
27823,0
15917,0
9087,1
15719,0
27032,0
30451,0
26386,0
27826,0
25027,0
28254,0
18456,0
19172,0
6135,1
9442,1
21033,0
17074,0
8424,1
3111,1
5374,1
6577,1
21215,0
23100,0
21811,0
11477,0
29290,0
30206,0
24981,0
4296,1
1914,1
1428,1
30529,0
16242,0
13605,0
7421,1
23448,0
27368,0
27348,0
15700,0
23648,0
6161,1
24268,0
23837,0
22487,0
3216,1
11125,1
11884,0
24295,0
6696,1
14659,0
18465,0
26194,0
26020,0
23863,0
22568,0
741,1
8961,1
30655,0
4964,1
7542,1
20938,0
8357,1
1865,1
12499,0
11587,0
2771,1
20281,0
29883,0
23015,0
1967,1
20427,0
11967,0
7426,1
26462,0
23942,0
24605,0
23554,0
11658,0
18838,0
14466,0
10158,1
4131,1
9252,1
3271,1
26623,0
14092,0
18981,0
26183,0
26388,0
9567,1
26329,0
13960,0
29437,0
17588,0
28252,0
21388,0
2420,1
15946,0
8866,1
6851,1
28485,0
15402,0
4113,1
14116,0
26223,0
20676,0
2214,1
13845,0
5681,1
17512,0
2461,1
19606,0
25773,0
26184,0
27210,0
27272,0
18451,0
26882,0
19600,0
14258,0
9522,1
5988,1
28741,0
921,1
22293,0
1012,1
5902,1
16564,0
19550,0
3507,1
24481,0
12574,0
18682,0
24729,0
8927,1
14751,0
21954,0
13692,0
11597,0
23873,0
8839,1
11473,0
4719,1
22537,0
21565,0
6850,1
15975,0
18749,0
1089,1
1861,1
19739,0
6190,1
119,1
30032,0
19120,1
18391,0
17408,0
23700,0
22023,0
1857,1
26305,0
8119,1
28756,0
1040,1
4562,1
26567,0
3549,1
17059,0
15067,0
17870,0
10078,1
26672,0
20205,0
28009,0
19459,0
2650,1
26566,0
10347,1
22288,0
23054,0
19049,0
17447,0
14955,0
315,1
6409,1
27028,0
8643,1
12255,0
22678,0
20065,0
4862,1
6580,1
27628,0
1754,1
28990,0
3726,1
2743,1
25879,0
21119,0
20082,0
26764,0
14061,0
13309,0
15496,0
5003,1
19082,0
5295,1
1544,1
5410,1
2872,1
15126,0
12055,0
5076,1
29958,0
26349,0
13532,0
22445,0
2224,1
17283,0
4982,1
12726,0
10333,1
12085,0
15036,0
28970,0
1041,1
27542,0
16760,0
26505,0
1740,1
14301,0
14088,0
15376,0
5852,1
26371,0
9206,1
9877,1
29448,0
23547,0
13836,0
30363,0
24458,0
598,1
24476,0
28423,0
3620,1
7509,1
16205,0
7963,1
3058,1
6778,1
19488,0
15538,0
9321,1
26466,0
3220,1
11520,0
823,1
5198,1
27192,0
25371,0
10397,1
28335,0
4302,1
5218,1
28137,0
3921,1
1522,1
16725,0
27181,0
29639,0
13196,0
6996,1
12796,0
10360,1
28320,0
25025,0
19419,0
16366,0
2656,1
11937,0
5777,1
16604,0
9927,1
27901,0
16512,0
19122,1
13123,0
3470,1
15727,0
30046,0
16059,0
19703,0
3575,1
17212,0
9556,1
22468,0
26650,0
5862,1
5322,1
30679,0
7737,1
8294,1
29193,0
26820,0
29892,0
3078,1
3283,1
18223,0
25785,0
13436,0
11441,0
21501,0
17614,0
16085,0
28473,0
25917,0
15163,0
27942,0
24281,0
21935,0
22306,0
15351,0
26077,0
8557,1
29815,0
14759,0
21654,0
10125,1
20752,0
19238,0
18901,0
13226,0
12671,0
13264,0
29073,0
17988,0
24697,0
4564,1
18734,0
29091,0
8949,1
26483,0
15690,0
29947,0
14499,0
16718,0
21581,0
145,1
14264,0
7461,1
9055,1
2748,1
28865,0
22554,0
28627,0
22164,0
29692,0
23426,0
8197,1
21829,0
21391,0
22185,0
3717,1
30107,0
16388,0
24399,0
16523,0
3093,1
8252,1
29543,0
14321,0
2191,1
29743,0
4133,1
337,1
8704,1
231,1
11826,0
20821,0
15744,0
14010,0
6564,1
23485,0
769,1
26,1
16020,0
27246,0
514,1
2414,1
20162,0
10595,1
5399,1
11642,0
4441,1
19630,0
2658,1
30475,0
19993,0
10800,1
17439,0
9283,1
27172,0
22222,0
16878,0
17627,0
2397,1
3311,1
8073,1
4259,1
21925,0
14810,0
10771,1
11369,0
6662,1
15394,0
1419,1
5948,1
265,1
30489,0
1509,1
21359,0
15207,0
11801,0
12338,0
18386,0
14298,0
13370,0
23500,0
8803,1
16406,0
13519,0
10100,1
22609,0
11757,0
7881,1
10074,1
22320,0
14006,0
1231,1
16941,0
27808,0
24752,0
5059,1
24151,0
9782,1
8924,1
11751,0
11943,0
28455,0
21870,0
9721,1
4594,1
22611,0
14943,0
24510,0
21861,0
9560,1
4077,1
24591,0
20407,0
20127,0
6734,1
14820,0
9524,1
11426,0
4655,1
7979,1
2589,1
14512,0
29223,0
20316,0
19861,0
12947,0
28995,0
25791,0
3412,1
14994,0
19818,0
4927,1
10087,1
9088,1
20331,0
7620,1
25200,0
6154,1
11589,0
17251,0
18153,0
7089,1
1850,1
17146,0
26127,0
4098,1
16493,0
6531,1
24945,0
20229,0
14809,0
12852,0
9584,1
17972,0
16232,0
25645,0
23850,0
14597,0
22634,0
4540,1
2559,1
4979,1
7348,1
13882,0
6454,1
1521,1
10751,1
355,1
13391,0
19750,0
1374,1
30438,0
17659,0
3405,1
11222,1
25261,0
6876,1
19213,0
13195,0
21715,0
26920,0
16138,0
4771,1
18844,0
12035,0
25532,0
24289,0
15403,0
17662,0
7857,1
11130,1
1515,1
14461,0
19207,0
22253,0
4031,1
21729,0
28580,0
9800,1
1837,1
14760,0
11113,1
29171,0
15949,0
30350,0
2051,1
16707,0
12435,0
16526,0
5650,1
21330,0
29824,0
26848,0
15740,0
5164,1
8306,1
26775,0
10195,1
16653,0
30507,0
13510,0
210,1
5699,1
14243,0
187,1
25028,0
9141,1
3848,1
179,1
7266,1
30651,0
26031,0
28055,0
28951,0
10494,1
29584,0
7947,1
2506,1
20772,0
7897,1
4107,1
15231,0
27709,0
26690,0
27782,0
7267,1
15656,0
21146,0
20993,0
13801,0
4873,1
16605,0
19929,0
27412,0
7858,1
2077,1
27574,0
7234,1
2618,1
29462,0
19306,0
820,1
7014,1
3441,1
20297,0
24882,0
20575,0
10319,1
17589,0
26123,0
6871,1
19882,0
9868,1
14671,0
21700,0
1654,1
15467,0
17970,0
21189,0
27749,0
23817,0
14014,0
25683,0
18204,0
24521,0
21262,0
26867,0
309,1
20674,0
18139,0
25660,0
2731,1
4426,1
25403,0
18758,0
5405,1
11980,0
12608,0
15732,0
23516,0
14771,0
26747,0
11285,1
13341,0
15999,0
3343,1
11128,1
24463,0
10186,1
15607,0
25147,0
20194,0
16139,0
23657,0
17883,0
5200,1
23244,0
21016,0
12027,0
30328,0
27802,0
6499,1
29305,0
28497,0
7285,1
17415,0
20441,0
17822,0
372,1
4793,1
19155,1
26496,0
13275,0
4691,1
3356,1
22940,0
7201,1
27840,0
13426,0
6766,1
24594,0
11605,0
2663,1
8318,1
11420,0
6429,1
4427,1
20741,0
25842,0
18654,0
19447,0
22154,0
3612,1
18212,0
13739,0
7033,1
20179,0
15521,0
19409,0
12429,0
6438,1
26394,0
14013,0
22412,0
19053,0
28388,0
6044,1
7178,1
12150,0
12590,0
8810,1
22290,0
6781,1
20537,0
7396,1
181,1
29698,0
3767,1
7636,1
20508,0
24904,0
21289,0
12694,0
29817,0
6701,1
186,1
25754,0
13298,0
30701,0
15160,0
15655,0
16613,0
20094,0
29992,0
3875,1
16068,0
30212,0
3698,1
23773,0
6103,1
18719,0
16135,0
14040,0
5508,1
639,1
15601,0
11881,0
9433,1
80,1
22745,0
